point_index,x_index,y_index,model,fit_direction,static_status,failure_reason,young_modulus_pa,contact_point_m,adhesion_parameter_n_per_m,residual_norm_n,snap_in_force_n,adhesion_force_n,baseline_slope,baseline_offset_m
0,0,0,Hertz,Advance,success,,2312984.925015496,-5.140935871248065e-07,0.0,1.266128185958616e-09,-1.5587822274919636e-09,-8.09822754241809e-09,-0.005796180876575475,1.1530888211954636e-08
1,1,0,Hertz,Advance,success,,2544550.3375939084,-5.045356402686379e-07,0.0,1.3895293196358519e-09,-1.8299279982067046e-09,-7.3475027197659664e-09,-0.0059124571156252475,1.195689222430292e-08
2,2,0,Hertz,Advance,success,,2168028.022860837,-5.07522044380297e-07,0.0,1.9646467288317595e-09,-1.8089524056880504e-09,-7.4296028154699386e-09,-0.0052156528582603685,1.1580008773010984e-08
3,3,0,Hertz,Advance,success,,2421639.253907691,-5.007365966135777e-07,0.0,1.9865962456445576e-09,-1.839106759542438e-09,-7.673187570712395e-09,-0.005410264291064989,1.185928012315336e-08
4,4,0,Hertz,Advance,success,,2434481.2032248992,-4.993322638735816e-07,0.0,1.173082149584719e-09,-1.8232753823760708e-09,-8.005648037106349e-09,-0.00547672900271952,1.1965444512943593e-08
5,5,0,Hertz,Advance,success,,2843299.370326183,-4.982744197094018e-07,0.0,1.364991531789333e-09,-1.7081913482437215e-09,-7.70891977821071e-09,-0.005414475652598211,1.1979219388723114e-08
6,6,0,Hertz,Advance,success,,2553594.4078292865,-5.035637828059614e-07,0.0,1.491758602407124e-09,-1.6644158201092734e-09,-7.69075514180741e-09,-0.0053237803704710715,1.196019500512611e-08
7,7,0,Hertz,Advance,success,,2491532.179838776,-5.073330786354197e-07,0.0,1.238805566353943e-09,-1.7959931169245842e-09,-7.681557744293267e-09,-0.0053711876753047266,1.2041947002434354e-08
8,8,0,Hertz,Advance,success,,2658933.8247573767,-5.056508941021581e-07,0.0,1.1982097479459311e-09,-1.782207364634837e-09,-7.525718477331491e-09,-0.00576619893000122,1.2376536391909029e-08
9,9,0,Hertz,Advance,success,,2557897.2548896046,-5.08043087320794e-07,0.0,1.2563879959082283e-09,-1.8134646393488664e-09,-8.019251562711098e-09,-0.005527576989174124,1.22378574661878e-08
10,10,0,Hertz,Advance,success,,2547942.938409221,-5.10307077297882e-07,0.0,1.6729402605547554e-09,-1.749304561571345e-09,-7.929776882163823e-09,-0.005577140184118998,1.2252474184958951e-08
11,11,0,Hertz,Advance,success,,2732693.031869738,-5.076354060861963e-07,0.0,1.1676875744734377e-09,-1.7093782589409256e-09,-7.957282211064208e-09,-0.005603918749585321,1.235219577775699e-08
12,12,0,Hertz,Advance,success,,2673159.0106852236,-5.10595908739522e-07,0.0,1.2727245322208385e-09,-1.7415329900785892e-09,-8.033734994502451e-09,-0.005485938814457695,1.2277406291936935e-08
13,13,0,Hertz,Advance,success,,2950411.0892014736,-5.066062835799912e-07,0.0,9.133120292426294e-10,-1.5769034203201252e-09,-8.237363860652929e-09,-0.005622034541256957,1.2420182950153855e-08
14,14,0,Hertz,Advance,success,,2768805.2875267053,-5.079243766161823e-07,0.0,1.2874435037261386e-09,-1.512251384372038e-09,-8.398469282014509e-09,-0.005666961873879642,1.2500646560650109e-08
15,15,0,Hertz,Advance,success,,2788642.7131304177,-5.044113435641128e-07,0.0,9.256289210181727e-10,-1.637925610176349e-09,-8.21374216474669e-09,-0.0056508753982090505,1.2528326378035494e-08
16,16,0,Hertz,Advance,success,,3031045.842641984,-5.017649960144245e-07,0.0,6.680152353341305e-10,-1.7755684731227432e-09,-8.411207825837354e-09,-0.005625095447044619,1.2494076092856796e-08
17,17,0,Hertz,Advance,success,,3065875.624259304,-4.979012050915595e-07,0.0,9.94233515666076e-10,-1.8525696970793608e-09,-7.970260096436704e-09,-0.005577947039582373,1.2449867639857004e-08
18,18,0,Hertz,Advance,success,,2709577.1851084633,-4.98809176879963e-07,0.0,1.0023856030407942e-09,-1.8418762599545278e-09,-7.962802782555763e-09,-0.00546467663459407,1.2451889321891264e-08
19,19,0,Hertz,Advance,success,,2717237.353654319,-4.953488517406473e-07,0.0,9.985868925689494e-10,-1.914941352937992e-09,-7.978719892150149e-09,-0.005336500716386195,1.2326300324040415e-08
20,20,0,Hertz,Advance,success,,2824769.7710649366,-4.927335970662771e-07,0.0,1.0908969894114557e-09,-1.8380047343132788e-09,-8.113218614422408e-09,-0.005455447740699744,1.2473523617756603e-08
21,21,0,Hertz,Advance,success,,2494286.94201327,-4.976010710724604e-07,0.0,9.175227763390104e-10,-1.8757748350119633e-09,-7.78022644847307e-09,-0.005328190324942115,1.2361781489036027e-08
22,22,0,Hertz,Advance,success,,2125899.7261331123,-5.019549712238639e-07,0.0,1.6165264398981582e-09,-1.7564292849987397e-09,-7.79254824017411e-09,-0.005389046330159843,1.2440034612934862e-08
